stock_code,stock_name,latest_price,pct_change,change_amount,open_price,high_price,low_price,prev_close,volume,amount,volume_ratio,turnover_rate,amplitude,main_net_inflow,main_net_inflow_ratio,fund_flow_date,benchmark_pct_change,relative_strength_vs_index
301396.SZ,宏景科技,316.74,-3.270728355474112,,,,,,,,,,,-352116320.0,-13.85,2026-04-30,,
603026.SH,石大胜华,114.92,-3.6310272536687616,,,,,,,,,,,-158723168.0,-4.93,2026-04-30,,
603195.SH,公牛集团,44.85,8.490566037735842,,,,,,,,,,,-95367538.0,-9.6,2026-04-30,,
001330.SZ,博纳影业,8.27,2.7329192546583707,,,,,,,,,,,86314316.0,8.02,2026-04-30,,
002731.SZ,ST萃华,4.35,-5.0218340611353804,,,,,,,,,,,-3183765.0,-30.83,2026-04-30,,
600887.SH,伊利股份,27.46,3.3496424538953726,,,,,,,,,,,-440685824.0,-7.47,2026-04-30,,
002640.SZ,跨境通,3.65,9.93975903614458,,,,,,,,,,,176538608.0,68.62,2026-04-30,,
000546.SZ,金圆股份,7.72,4.748982360922654,,,,,,,,,,,30688453.0,3.08,2026-04-30,,
603993.SH,洛阳钼业,18.62,-2.9702970297029716,,,,,,,,,,,-632302416.0,-14.8,2026-04-30,,
603618.SH,杭电股份,28.26,-4.105870376654216,,,,,,,,,,,-205290886.0,-10.33,2026-04-30,,
603045.SH,福达合金,46.68,9.990574929311975,,,,,,,,,,,30333597.0,26.73,2026-04-30,,
000063.SZ,中兴通讯,36.7,0.7688083470620569,,,,,,,,,,,130409744.0,3.64,2026-04-30,,
600527.SH,江南高纤,2.95,4.609929078014197,,,,,,,,,,,10603776.0,1.59,2026-04-30,,
