stock_code,stock_name,keyword,title,content,published_at,source,url
301396.SZ,宏景科技,301396,宏景科技301396.SZ)：2026年一季报净利润为3025.74万元,2026年4月29日，宏景科技301396.SZ)发布2026年一季报。 公司营业总收入为3.77亿元。归母净利润为3025.74万元。经营活动现金净流入为2.56亿元。,2026-04-29 13:13:31,界面新闻,http://finance.eastmoney.com/a/202604293724207186.html
301396.SZ,宏景科技,301396,宏景科技301396.SZ)：2025年年报净利润为2644.77万元,2026年4月29日，宏景科技301396.SZ)发布2025年年报。 公司营业总收入为11.82亿元。归母净利润为2644.77万元。经营活动现金净流入为18.86亿元。,2026-04-29 09:30:11,界面新闻,http://finance.eastmoney.com/a/202604293723876659.html
301396.SZ,宏景科技,301396,宏景科技301396.SZ)：2026年一季报净利润为3025.74万元、同比较去年同期上涨39.75%,2026年4月29日，宏景科技301396.SZ)发布2026年一季报。 公司营业总收入为3.77亿元，在已披露的同业公司中排名第33，较去年同报告期营业总收入增加2469.21万元，实现2年连续上涨，同比较去年同期上涨7.01%。,2026-04-29 17:59:20,界面新闻,http://finance.eastmoney.com/a/202604293724668551.html
301396.SZ,宏景科技,301396,宏景科技301396龙虎榜数据04-22),交易所2026年4月22日公布的交易公开信息显示，宏景科技因成为日涨幅达到15%的前5只证券上榜。宏景科技当日收报324.28元，涨跌幅16.09%，偏离值16.09%，换手率23.60%，成交额53.91亿。 免责声明：本文基于AI生产，仅供参考，不构成任何投资建议，据此操作风险自担,2026-04-22 16:27:10,东方财富Choice数据,http://finance.eastmoney.com/a/202604223714037639.html
301396.SZ,宏景科技,301396,宏景科技301396龙虎榜数据04-16,交易所2026年4月16日公布的交易公开信息显示，宏景科技因成为日涨幅达到15%的前5只证券、连续三个交易日内，涨幅偏离值累计达到30%的证券上榜。宏景科技当日收报289.42元，涨跌幅20.00%，偏离值20.00%，换手率19.78%，成交额41.60亿。异常期间4月14日至4,2026-04-16 16:27:34,东方财富Choice数据,http://finance.eastmoney.com/a/202604163707408515.html
301396.SZ,宏景科技,301396,301396、688227，尾盘拉升“20cm”封板！A股两大板块，掀涨停潮！,品高股份(688227)午后开盘直线20%涨停，宏景科技301396则在临近收盘实现“20cm”封板，润建股份、中贝通信、晶科科技等亦在午后强势涨停。 4月以来，我国密集进行航天发射。,2026-04-16 18:15:00,证券时报网,http://finance.eastmoney.com/a/202604163707567456.html
301396.SZ,宏景科技,301396,宏景科技：2026年一季度净利润3025.74万元 同比增长39.75%,中证智能财讯宏景科技（301396）4月29日披露2026年第一季度报告。,2026-05-01 13:14:56,中国证券报·中证网,http://finance.eastmoney.com/a/202605013727243669.html
301396.SZ,宏景科技,301396,杠杆资金大手笔加仓股名单,机械设备 688008 澜起科技 -2.52 18710.07 784976.91 3.94 电子 603019 中科曙光 -3.54 17877.62 886426.51 6.67 计算机 300760 迈瑞医疗 1.96 17807.65 515690.41 2.64 医药生物 301396,2026-04-29 09:22:00,证券时报网,http://finance.eastmoney.com/a/202604293723753735.html
301396.SZ,宏景科技,301396,创业板股融资余额增幅榜（附股）,机械设备 301193 家联科技 12808.78 22.94 23.40 -3.47 轻工制造 300586 美联新材 42258.81 22.25 11.79 13.04 基础化工 300567 精测电子 112650.11 20.52 137.74 -1.44 机械设备 301396,2026-04-29 09:22:00,证券时报网,http://finance.eastmoney.com/a/202604293723730263.html
301396.SZ,宏景科技,301396,323股本月股价创历史新高,300905 宝丽迪 68.12 117.64 192.49 基础化工 603773 沃格光电 69.35 111.69 204.30 电子 301217 铜冠铜箔 78.34 108.91 129.57 电力设备 688268 华特气体 188.30 106.92 227.94 电子 301396,2026-04-30 22:41:00,证券时报网,http://finance.eastmoney.com/a/202604303726808129.html
