股票代码,股票简称,最新价,最新涨跌幅,个股热度[20260501],个股热度排名[20260501],market_code,code
000858.SZ,五粮液,97.08,-1.281269066503971,378788.5,1,33,000858
688256.SH,寒武纪,1699.96,20.00028236024932,169638.0,2,17,688256
002081.SZ,金螳螂,5.9,10.074626865671641,161766.0,3,33,002081
000066.SZ,中国长城,19.82,9.988901220865708,121510.5,4,33,000066
603629.SH,利通电子,144.41,9.993144946302083,114067.5,5,17,603629
600745.SH,闻泰科技,28.12,0.0,109709.0,6,17,600745
600186.SH,莲花控股,10.72,-0.9242144177449135,98988.5,7,17,600186
002202.SZ,金风科技,27.55,7.073455110765644,96410.5,8,33,002202
002149.SZ,西部材料,63.51,9.993072393488042,89396.0,9,33,002149
002297.SZ,博云新材,24.5,5.557949159844891,88657.0,10,33,002297
600111.SH,北方稀土,53.04,4.102060843964664,73990.5,11,17,600111
603399.SH,永杉锂业,19.39,9.98298355076575,70401.5,12,17,603399
002181.SZ,粤传媒,16.49,10.00667111407604,70135.5,13,33,002181
002709.SZ,天赐材料,60.51,2.0060687795010077,67870.5,14,33,002709
601138.SH,工业富联,62.88,-5.101116812556598,63090.0,15,17,601138
600330.SH,天通股份,27.89,8.690568978955575,61570.0,16,17,600330
600379.SH,宝光股份,16.78,10.032786885245908,61350.0,17,17,600379
002580.SZ,圣阳股份,27.48,-3.9160839160839194,59866.5,18,33,002580
002281.SZ,光迅科技,144.28,8.58734101000978,57956.0,19,33,002281
002466.SZ,天齐锂业,80.03,5.971927966101702,56457.5,20,33,002466
600396.SH,华电辽能,9.92,-4.889741131351868,54932.5,21,17,600396
002192.SZ,融捷股份,109.22,10.001007150770462,54761.0,22,33,002192
600759.SH,ST洲际,4.67,-5.08130081300813,54309.5,23,22,600759
002342.SZ,巨力索具,19.81,4.814814814814816,53173.0,24,33,002342
301599.SZ,理奇智能,62.4,348.5981308411214,52793.5,25,33,301599
002361.SZ,神剑股份,20.55,2.493765586034913,50699.0,26,33,002361
002217.SZ,合力泰,2.89,-5.8631921824104145,48968.5,27,33,002217
000062.SZ,深圳华强,36.92,3.562412342215998,47055.5,28,33,000062
600206.SH,有研新材,27.37,2.0126723816623286,46846.5,29,17,600206
002407.SZ,多氟多,36.31,1.2266517981600358,46794.0,30,33,002407
002240.SZ,盛新锂能,60.09,9.994508511806702,46396.0,31,33,002240
603538.SH,美诺华,62.46,-4.349157733537514,45223.0,32,17,603538
002384.SZ,东山精密,186.73,1.3459972862957883,44486.5,33,33,002384
002176.SZ,江特电机,16.05,-0.24860161591049812,43798.0,34,33,002176
600726.SH,华电能源,6.59,-7.183098591549293,43543.5,35,17,600726
002050.SZ,三花智控,46.92,4.685408299866134,43361.0,36,33,002050
001896.SZ,豫能控股,15.24,-9.982279976373299,42673.0,37,33,001896
600487.SH,亨通光电,65.7,-2.4933214603739873,42338.0,38,17,600487
301217.SZ,铜冠铜箔,78.34,10.369118061425754,42241.0,39,33,301217
605299.SH,舒华体育,25.98,9.991532599491952,41647.0,40,17,605299
002842.SZ,翔鹭钨业,38.49,10.002857959416975,41358.5,41,33,002842
601778.SH,晶科科技,6.5,-6.609195402298851,41355.5,42,17,601778
603601.SH,再升科技,15.85,4.276315789473686,40665.5,43,17,603601
600522.SH,中天科技,33.12,-3.3838973162193806,40448.0,44,17,600522
600246.SH,万通发展,11.28,10.048780487804873,39701.5,45,17,600246
002156.SZ,通富微电,51.77,4.585858585858592,38895.5,46,33,002156
600118.SH,中国卫星,102.8,4.972939854998458,38699.5,47,17,600118
300083.SZ,创世纪,10.19,20.023557126030617,38422.0,48,33,300083
600519.SH,贵州茅台,1384.79,-1.1690230307528786,37323.0,49,17,600519
300308.SZ,中际旭创,857.5,1.4792899408284024,36806.0,50,33,300308
603095.SH,越剑智能,25.37,10.017346053772776,36687.5,51,17,603095
002475.SZ,立讯精密,67.0,-2.38927738927739,35806.5,52,33,002475
002428.SZ,云南锗业,70.01,1.1412886449003268,35644.0,53,33,002428
002460.SZ,赣锋锂业,88.68,2.0483314154200243,35393.0,54,33,002460
000833.SZ,粤桂股份,31.72,9.986130374479885,35216.0,55,33,000833
600433.SH,冠豪高新,4.84,9.999999999999988,35171.5,56,17,600433
600884.SH,杉杉股份,16.65,-1.4792899408284026,35021.0,57,17,600884
600152.SH,维科技术,14.85,2.4137931034482736,34723.0,58,17,600152
002655.SZ,共达电声,31.52,2.671009771986972,33853.0,59,33,002655
002805.SZ,丰元股份,22.85,10.014443909484843,33272.5,60,33,002805
603778.SH,国晟科技,26.6,-2.813299232736571,32967.5,61,17,603778
000988.SZ,华工科技,119.53,0.41162634408601717,32886.5,62,33,000988
002131.SZ,利欧股份,6.45,-1.8264840182648416,32597.5,63,33,002131
003026.SZ,中晶科技,49.99,5.419654154365246,32559.0,64,33,003026
002225.SZ,濮耐股份,4.5,-2.173913043478253,32203.0,65,33,002225
002812.SZ,恩捷股份,82.95,-1.7994554279625856,32151.5,66,33,002812
300136.SZ,信维通信,91.3,6.771137878610679,32118.5,67,33,300136
600105.SH,永鼎股份,42.41,-2.1006463527239236,31976.0,68,17,600105
601899.SH,紫金矿业,33.3,-2.4604569420035247,31792.0,69,17,601899
002185.SZ,华天科技,13.11,2.6624902114330453,31540.0,70,33,002185
603318.SH,水发燃气,14.26,-1.9931271477663293,31429.0,71,17,603318
600158.SH,中体产业,11.85,10.027855153203342,31388.5,72,17,600158
600584.SH,长电科技,45.56,2.70513976555456,31222.5,73,17,600584
600770.SH,综艺股份,7.62,-3.422053231939158,31155.0,74,17,600770
002759.SZ,天际股份,38.09,5.776173285198571,31031.0,75,33,002759
600900.SH,长江电力,27.32,2.0545386626821096,30963.0,76,17,600900
601208.SH,东材科技,39.14,1.2415933781686601,30960.0,77,17,601208
600821.SH,金开新能,7.8,-10.03460207612457,30690.0,78,17,600821
000890.SZ,法尔胜,15.66,-8.953488372093018,30679.0,79,33,000890
600703.SH,三安光电,13.67,-1.9368723098995666,30632.5,80,17,600703
