股票代码,股票简称,最新价,最新涨跌幅,个股热度[20260501],个股热度排名[20260501],market_code,code
301396.SZ,宏景科技,316.74,-3.270728355474112,20794.0,145,33,301396
603026.SH,石大胜华,114.92,-3.6310272536687616,17865.0,175,17,603026
603195.SH,公牛集团,44.85,8.490566037735842,17769.0,177,17,603195
001330.SZ,博纳影业,8.27,2.7329192546583707,17659.5,179,33,001330
002731.SZ,ST萃华,4.35,-5.0218340611353804,17639.0,181,33,002731
600887.SH,伊利股份,27.46,3.3496424538953726,17566.5,182,17,600887
002640.SZ,跨境通,3.65,9.939759036144581,17054.0,188,33,002640
000546.SZ,金圆股份,7.72,4.748982360922654,16816.0,190,33,000546
603993.SH,洛阳钼业,18.62,-2.9702970297029716,16747.5,193,17,603993
603618.SH,杭电股份,28.26,-4.105870376654216,16568.0,196,17,603618
603045.SH,福达合金,46.68,9.990574929311975,16529.0,197,17,603045
000063.SZ,中兴通讯,36.7,0.7688083470620569,16327.5,199,33,000063
600527.SH,江南高纤,2.95,4.609929078014197,16219.5,200,17,600527
